U117,S204,A301,1495130523,1465130523,1475130523,A,ST402,0,1,0
U115,S203,A305,1465230523,1465130523,1475130523,AP,ST409,0,1,0
U117,S208,A305,1465130523,1465130523,1465130523,AP,ST407,3,0,1
U111,S206,A303,1465230523,1485130523,1465130523,U,ST414,1,0,0
U119,S207,A301,1465230523,1475130523,1485130523,AU,ST408,1,1,1
,S209,A301,1465230523,1465230523,1485130523,U,ST411,3,0,1
U112,S207,A302,1465230523,1465230523,1475130523,AU,ST410,0,1,1
U118,S203,A304,1475130523,1465130523,1465230523,U,ST403,0,0,0
U101,S204,A301,1475130523,1485130523,1485130523,,ST411,2,0,1
U103,S207,,1465230523,1465130523,1465130523,A,ST400,1,1,1
U113,S202,A300,1465130523,1475130523,1475130523,U,ST415,1,1,0
U104,S206,A303,1495130523,1465130523,1475130523,U,ST401,1,1,1
U113,S207,A305,1495130523,1465130523,1485130523,AU,ST402,0,0,1
U101,S206,A305,1465130523,1465230523,1465230523,AP,ST415,3,0,0
U110,S202,A303,1495130523,1465130523,1465130523,AP,ST413,0,0,1
U118,S208,A304,1465130523,1475130523,1465130523,E,ST410,0,1,1
U118,S209,A305,1475130523,1465230523,1465230523,E,ST400,0,0,0
U108,S200,A300,1495130523,1475130523,1465230523,U,ST400,1,0,1
U105,S208,A300,1465130523,1475130523,1465230523,AU,ST410,1,0,0
U118,S201,A304,1465230523,1475130523,1485130523,A,ST408,2,1,1
